,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
17,2023-24,MIA,Miami Heat,22300220,2023-11-20,MIA @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
18,2023-24,MIA,Miami Heat,22300204,2023-11-18,MIA @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
30,2023-24,MIA,Miami Heat,22300200,2023-11-16,MIA vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
21,2023-24,MIA,Miami Heat,22300017,2023-11-14,MIA @ CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
33,2023-24,MIA,Miami Heat,22300184,2023-11-12,MIA @ SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
12,2023-24,MIA,Miami Heat,22300175,2023-11-11,MIA @ ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
34,2023-24,MIA,Miami Heat,22300164,2023-11-08,MIA @ MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
6,2023-24,MIA,Miami Heat,22300150,2023-11-06,MIA vs. LAL,1610612747,820,1422,0.577,0.58,1650,3522,0.468,0.472,556,1451,0.383,0.367,1094,2071,0.528,0.539,102.4,107.5
35,2023-24,MIA,Miami Heat,22300003,2023-11-03,MIA vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
31,2023-24,MIA,Miami Heat,22300119,2023-11-01,MIA vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
28,2023-24,MIA,Miami Heat,22300107,2023-10-30,MIA @ MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
14,2023-24,MIA,Miami Heat,22300093,2023-10-28,MIA @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
36,2023-24,MIA,Miami Heat,22300080,2023-10-27,MIA @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
37,2023-24,MIA,Miami Heat,22300068,2023-10-25,MIA vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
0,2023-24,CLE,Cleveland Cavaliers,22300527,2024-01-11,CLE vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
2,2023-24,CLE,Cleveland Cavaliers,22300497,2024-01-07,CLE vs. SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
3,2023-24,CLE,Cleveland Cavaliers,22300482,2024-01-05,CLE vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
4,2023-24,CLE,Cleveland Cavaliers,22300465,2024-01-03,CLE vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
5,2023-24,CLE,Cleveland Cavaliers,22300452,2024-01-01,CLE @ TOR,1610612761,926,1571,0.589,0.585,1658,3424,0.484,0.472,505,1314,0.384,0.365,1153,2110,0.546,0.543,101.4,109.2
7,2023-24,CLE,Cleveland Cavaliers,22300433,2023-12-29,CLE vs. MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
8,2023-24,CLE,Cleveland Cavaliers,22300420,2023-12-27,CLE @ DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
9,2023-24,CLE,Cleveland Cavaliers,22300396,2023-12-23,CLE @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
10,2023-24,CLE,Cleveland Cavaliers,22300375,2023-12-21,CLE vs. NOP,1610612740,847,1419,0.597,0.584,1512,3304,0.458,0.471,489,1464,0.334,0.364,1023,1840,0.556,0.543,102.8,109.5
11,2023-24,CLE,Cleveland Cavaliers,22300364,2023-12-20,CLE vs. UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
12,2023-24,CLE,Cleveland Cavaliers,22300349,2023-12-18,CLE vs. HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
13,2023-24,CLE,Cleveland Cavaliers,22300336,2023-12-16,CLE vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
15,2023-24,CLE,Cleveland Cavaliers,22300319,2023-12-14,CLE @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
16,2023-24,CLE,Cleveland Cavaliers,22300305,2023-12-12,CLE @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
17,2023-24,CLE,Cleveland Cavaliers,22300294,2023-12-11,CLE @ ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
19,2023-24,CLE,Cleveland Cavaliers,22301220,2023-12-08,CLE @ MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
18,2023-24,CLE,Cleveland Cavaliers,22301205,2023-12-06,CLE vs. ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
21,2023-24,CLE,Cleveland Cavaliers,22300283,2023-12-02,CLE @ DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
23,2023-24,CLE,Cleveland Cavaliers,22300265,2023-11-30,CLE vs. POR,1610612757,1021,1570,0.65,0.593,1648,3328,0.495,0.475,432,1268,0.341,0.365,1216,2060,0.59,0.549,100.5,111.5
14,2023-24,CLE,Cleveland Cavaliers,22300055,2023-11-28,CLE vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
6,2023-24,CLE,Cleveland Cavaliers,22300251,2023-11-26,CLE vs. TOR,1610612761,926,1571,0.589,0.585,1658,3424,0.484,0.472,505,1314,0.384,0.365,1153,2110,0.546,0.543,101.4,109.2
25,2023-24,CLE,Cleveland Cavaliers,22300242,2023-11-25,CLE vs. LAL,1610612747,820,1422,0.577,0.58,1650,3522,0.468,0.472,556,1451,0.383,0.367,1094,2071,0.528,0.539,102.4,107.5
20,2023-24,CLE,Cleveland Cavaliers,22300229,2023-11-22,CLE vs. MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
26,2023-24,CLE,Cleveland Cavaliers,22300040,2023-11-21,CLE @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
27,2023-24,CLE,Cleveland Cavaliers,22300210,2023-11-19,CLE vs. DEN,1610612743,865,1535,0.564,0.583,1545,3325,0.465,0.472,432,1193,0.362,0.365,1113,2132,0.522,0.542,99.8,110.0
22,2023-24,CLE,Cleveland Cavaliers,22300030,2023-11-17,CLE vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
24,2023-24,CLE,Cleveland Cavaliers,22300199,2023-11-15,CLE @ POR,1610612757,1021,1570,0.65,0.593,1648,3328,0.495,0.475,432,1268,0.341,0.365,1216,2060,0.59,0.549,100.5,111.5
28,2023-24,CLE,Cleveland Cavaliers,22300191,2023-11-13,CLE @ SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
29,2023-24,CLE,Cleveland Cavaliers,22300176,2023-11-11,CLE @ GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
31,2023-24,CLE,Cleveland Cavaliers,22300167,2023-11-08,CLE @ OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
30,2023-24,CLE,Cleveland Cavaliers,22300142,2023-11-05,CLE vs. GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
33,2023-24,CLE,Cleveland Cavaliers,22300001,2023-11-03,CLE @ IND,1610612754,1068,1837,0.581,0.586,1721,3454,0.498,0.474,415,1103,0.376,0.366,1306,2351,0.556,0.545,107.1,117.9
35,2023-24,CLE,Cleveland Cavaliers,22300120,2023-11-01,CLE @ NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
36,2023-24,CLE,Cleveland Cavaliers,22300112,2023-10-31,CLE vs. NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
34,2023-24,CLE,Cleveland Cavaliers,22300091,2023-10-28,CLE vs. IND,1610612754,1068,1837,0.581,0.586,1721,3454,0.498,0.474,415,1103,0.376,0.366,1306,2351,0.556,0.545,107.1,117.9
32,2023-24,CLE,Cleveland Cavaliers,22300081,2023-10-27,CLE vs. OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
1,2023-24,CLE,Cleveland Cavaliers,22300067,2023-10-25,CLE @ BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
0,2023-24,TOR,Toronto Raptors,22300526,2024-01-10,TOR @ LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
1,2023-24,TOR,Toronto Raptors,22300516,2024-01-09,TOR @ LAL,1610612747,820,1422,0.577,0.58,1650,3522,0.468,0.472,556,1451,0.383,0.367,1094,2071,0.528,0.539,102.4,107.5
2,2023-24,TOR,Toronto Raptors,22300504,2024-01-07,TOR @ GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
3,2023-24,TOR,Toronto Raptors,22300492,2024-01-05,TOR @ SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
4,2023-24,TOR,Toronto Raptors,22300470,2024-01-03,TOR @ MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
5,2023-24,TOR,Toronto Raptors,22300452,2024-01-01,TOR vs. CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
7,2023-24,TOR,Toronto Raptors,22300440,2023-12-30,TOR @ DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
9,2023-24,TOR,Toronto Raptors,22300432,2023-12-29,TOR @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
12,2023-24,TOR,Toronto Raptors,22300416,2023-12-27,TOR @ WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
14,2023-24,TOR,Toronto Raptors,22300395,2023-12-23,TOR vs. UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
15,2023-24,TOR,Toronto Raptors,22300382,2023-12-22,TOR @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
18,2023-24,TOR,Toronto Raptors,22300369,2023-12-20,TOR vs. DEN,1610612743,865,1535,0.564,0.583,1545,3325,0.465,0.472,432,1193,0.362,0.365,1113,2132,0.522,0.542,99.8,110.0
19,2023-24,TOR,Toronto Raptors,22300354,2023-12-18,TOR vs. CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
21,2023-24,TOR,Toronto Raptors,22300330,2023-12-15,TOR vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
22,2023-24,TOR,Toronto Raptors,22300313,2023-12-13,TOR vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
23,2023-24,TOR,Toronto Raptors,22300297,2023-12-11,TOR @ NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
20,2023-24,TOR,Toronto Raptors,22301216,2023-12-08,TOR @ CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
25,2023-24,TOR,Toronto Raptors,22301207,2023-12-06,TOR vs. MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
24,2023-24,TOR,Toronto Raptors,22300276,2023-12-01,TOR vs. NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
26,2023-24,TOR,Toronto Raptors,22300260,2023-11-29,TOR vs. PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.467,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
27,2023-24,TOR,Toronto Raptors,22300054,2023-11-28,TOR @ BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
6,2023-24,TOR,Toronto Raptors,22300251,2023-11-26,TOR @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
28,2023-24,TOR,Toronto Raptors,22300046,2023-11-24,TOR vs. CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
30,2023-24,TOR,Toronto Raptors,22300230,2023-11-22,TOR @ IND,1610612754,1068,1837,0.581,0.586,1721,3454,0.498,0.474,415,1103,0.376,0.366,1306,2351,0.556,0.545,107.1,117.9
31,2023-24,TOR,Toronto Raptors,22300038,2023-11-21,TOR @ ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
8,2023-24,TOR,Toronto Raptors,22300211,2023-11-19,TOR vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
10,2023-24,TOR,Toronto Raptors,22300031,2023-11-17,TOR vs. BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
32,2023-24,TOR,Toronto Raptors,22300195,2023-11-15,TOR vs. MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
13,2023-24,TOR,Toronto Raptors,22300189,2023-11-13,TOR vs. WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
11,2023-24,TOR,Toronto Raptors,22300174,2023-11-11,TOR @ BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
34,2023-24,TOR,Toronto Raptors,22300168,2023-11-08,TOR @ DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
35,2023-24,TOR,Toronto Raptors,22300141,2023-11-05,TOR @ SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
16,2023-24,TOR,Toronto Raptors,22300128,2023-11-02,TOR @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
33,2023-24,TOR,Toronto Raptors,22300116,2023-11-01,TOR vs. MIL,1610612749,918,1597,0.575,0.583,1686,3592,0.469,0.473,443,1321,0.335,0.365,1243,2271,0.547,0.542,103.9,113.1
36,2023-24,TOR,Toronto Raptors,22300105,2023-10-30,TOR vs. POR,1610612757,1021,1570,0.65,0.593,1648,3328,0.495,0.475,432,1268,0.341,0.365,1216,2060,0.59,0.549,100.5,111.5
17,2023-24,TOR,Toronto Raptors,22300092,2023-10-28,TOR vs. PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
29,2023-24,TOR,Toronto Raptors,22300082,2023-10-27,TOR @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
37,2023-24,TOR,Toronto Raptors,22300069,2023-10-25,TOR vs. MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
0,2023-24,DEN,Denver Nuggets,22300524,2024-01-10,DEN @ UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
2,2023-24,DEN,Denver Nuggets,22300502,2024-01-07,DEN vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
4,2023-24,DEN,Denver Nuggets,22300488,2024-01-05,DEN vs. ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
6,2023-24,DEN,Denver Nuggets,22300478,2024-01-04,DEN @ GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
9,2023-24,DEN,Denver Nuggets,22300455,2024-01-01,DEN vs. CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
11,2023-24,DEN,Denver Nuggets,22300435,2023-12-29,DEN vs. OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
14,2023-24,DEN,Denver Nuggets,22300425,2023-12-28,DEN vs. MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
7,2023-24,DEN,Denver Nuggets,22300402,2023-12-25,DEN vs. GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
10,2023-24,DEN,Denver Nuggets,22300390,2023-12-23,DEN @ CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
16,2023-24,DEN,Denver Nuggets,22300383,2023-12-22,DEN @ BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
18,2023-24,DEN,Denver Nuggets,22300369,2023-12-20,DEN @ TOR,1610612761,926,1571,0.589,0.585,1658,3424,0.484,0.472,505,1314,0.384,0.365,1153,2110,0.546,0.543,101.4,109.2
19,2023-24,DEN,Denver Nuggets,22300356,2023-12-18,DEN vs. DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
12,2023-24,DEN,Denver Nuggets,22300340,2023-12-16,DEN vs. OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
17,2023-24,DEN,Denver Nuggets,22300322,2023-12-14,DEN vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
21,2023-24,DEN,Denver Nuggets,22300307,2023-12-12,DEN @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
23,2023-24,DEN,Denver Nuggets,22300296,2023-12-11,DEN @ ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
24,2023-24,DEN,Denver Nuggets,22301224,2023-12-08,DEN vs. HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
28,2023-24,DEN,Denver Nuggets,22301215,2023-12-06,DEN @ LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
31,2023-24,DEN,Denver Nuggets,22300290,2023-12-02,DEN @ SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
32,2023-24,DEN,Denver Nuggets,22300279,2023-12-01,DEN @ PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.467,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
25,2023-24,DEN,Denver Nuggets,22300263,2023-11-29,DEN vs. HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
29,2023-24,DEN,Denver Nuggets,22300257,2023-11-27,DEN @ LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
33,2023-24,DEN,Denver Nuggets,22300252,2023-11-26,DEN vs. SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
26,2023-24,DEN,Denver Nuggets,22300048,2023-11-24,DEN @ HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
5,2023-24,DEN,Denver Nuggets,22300226,2023-11-22,DEN @ ORL,1610612753,855,1450,0.59,0.59,1516,3188,0.476,0.476,438,1217,0.36,0.366,1078,1971,0.547,0.549,102.7,104.7
3,2023-24,DEN,Denver Nuggets,22300218,2023-11-20,DEN @ DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
34,2023-24,DEN,Denver Nuggets,22300210,2023-11-19,DEN @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
35,2023-24,DEN,Denver Nuggets,22300034,2023-11-17,DEN @ NOP,1610612740,847,1419,0.597,0.584,1512,3304,0.458,0.471,489,1464,0.334,0.364,1023,1840,0.556,0.543,102.8,109.5
30,2023-24,DEN,Denver Nuggets,22300024,2023-11-14,DEN vs. LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
27,2023-24,DEN,Denver Nuggets,22300182,2023-11-12,DEN @ HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
8,2023-24,DEN,Denver Nuggets,22300169,2023-11-08,DEN vs. GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
36,2023-24,DEN,Denver Nuggets,22300156,2023-11-06,DEN vs. NOP,1610612740,847,1419,0.597,0.584,1512,3304,0.458,0.471,489,1464,0.334,0.364,1023,1840,0.556,0.543,102.8,109.5
22,2023-24,DEN,Denver Nuggets,22300139,2023-11-04,DEN vs. CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
20,2023-24,DEN,Denver Nuggets,22300006,2023-11-03,DEN vs. DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
37,2023-24,DEN,Denver Nuggets,22300123,2023-11-01,DEN @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
1,2023-24,DEN,Denver Nuggets,22300110,2023-10-30,DEN vs. UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
13,2023-24,DEN,Denver Nuggets,22300095,2023-10-29,DEN @ OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
15,2023-24,DEN,Denver Nuggets,22300078,2023-10-27,DEN @ MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
