,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
80,2021-22,ORL,Orlando Magic,22100125,11/5/21,ORL vs. SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
65,2021-22,ORL,Orlando Magic,22100110,11/3/21,ORL vs. BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
41,2021-22,ORL,Orlando Magic,22100101,11/1/21,ORL @ MIN,41.7,88.35,0.472,0.459,0.012,0.425,22.91,37.52,0.611,0.582,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
31,2021-22,ORL,Orlando Magic,22100079,10/30/21,ORL @ DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
17,2021-22,ORL,Orlando Magic,22100071,10/29/21,ORL @ TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
7,2021-22,ORL,Orlando Magic,22100055,10/27/21,ORL vs. CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
3,2021-22,ORL,Orlando Magic,22100045,10/25/21,ORL @ MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
13,2021-22,ORL,Orlando Magic,22100036,10/24/21,ORL @ NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
14,2021-22,ORL,Orlando Magic,22100018,10/22/21,ORL vs. NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
81,2021-22,ORL,Orlando Magic,22100010,10/20/21,ORL @ SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
0,2021-22,PHI,Philadelphia 76ers,22101228,4/10/22,PHI vs. DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
4,2021-22,PHI,Philadelphia 76ers,22101214,4/9/22,PHI vs. IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
7,2021-22,PHI,Philadelphia 76ers,22101197,4/7/22,PHI @ TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
5,2021-22,PHI,Philadelphia 76ers,22101178,4/5/22,PHI @ IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
11,2021-22,PHI,Philadelphia 76ers,22101170,4/3/22,PHI @ CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
15,2021-22,PHI,Philadelphia 76ers,22101161,4/2/22,PHI vs. CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
1,2021-22,PHI,Philadelphia 76ers,22101147,3/31/22,PHI @ DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
19,2021-22,PHI,Philadelphia 76ers,22101131,3/29/22,PHI vs. MIL,43.91,91.82,0.478,0.465,0.013,0.345,19.36,31.68,0.611,0.586,28.41,52.27,0.543,0.534,0.009,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
22,2021-22,PHI,Philadelphia 76ers,22101118,3/27/22,PHI @ PHX,39.5,87.04,0.454,0.457,-0.003,0.42,20.83,36.54,0.57,0.58,27.46,53.25,0.516,0.53,-0.014,1610612756,12.04,33.79,0.356,0.35,0.007,102,104.7
24,2021-22,PHI,Philadelphia 76ers,22101106,3/25/22,PHI @ LAC,41.33,90.29,0.458,0.462,-0.004,0.449,22.33,40.52,0.551,0.588,29.33,57.48,0.51,0.536,-0.026,1610612746,12,32.81,0.366,0.352,0.014,100.2,107.5
26,2021-22,PHI,Philadelphia 76ers,22101093,3/23/22,PHI @ LAL,45.75,90.67,0.505,0.464,0.041,0.434,24.92,39.33,0.633,0.591,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
28,2021-22,PHI,Philadelphia 76ers,22101074,3/21/22,PHI vs. MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
8,2021-22,PHI,Philadelphia 76ers,22101069,3/20/22,PHI vs. TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
32,2021-22,PHI,Philadelphia 76ers,22101046,3/18/22,PHI vs. DAL,39.7,85.83,0.463,0.462,0.001,0.445,22.96,38.17,0.601,0.587,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
12,2021-22,PHI,Philadelphia 76ers,22101034,3/16/22,PHI @ CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
34,2021-22,PHI,Philadelphia 76ers,22101022,3/14/22,PHI vs. DEN,42.83,89.38,0.479,0.46,0.019,0.428,23.04,38.21,0.603,0.583,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
36,2021-22,PHI,Philadelphia 76ers,22101015,3/13/22,PHI @ ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
40,2021-22,PHI,Philadelphia 76ers,22100993,3/10/22,PHI vs. BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
44,2021-22,PHI,Philadelphia 76ers,22100969,3/7/22,PHI vs. CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
29,2021-22,PHI,Philadelphia 76ers,22100956,3/5/22,PHI @ MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
13,2021-22,PHI,Philadelphia 76ers,22100947,3/4/22,PHI vs. CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
48,2021-22,PHI,Philadelphia 76ers,22100934,3/2/22,PHI vs. NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
49,2021-22,PHI,Philadelphia 76ers,22100912,2/27/22,PHI @ NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
52,2021-22,PHI,Philadelphia 76ers,22100901,2/25/22,PHI @ MIN,41.7,88.35,0.472,0.459,0.012,0.425,22.91,37.52,0.611,0.582,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
20,2021-22,PHI,Philadelphia 76ers,22100887,2/17/22,PHI @ MIL,43.91,91.82,0.478,0.465,0.013,0.345,19.36,31.68,0.611,0.586,28.41,52.27,0.543,0.534,0.009,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
54,2021-22,PHI,Philadelphia 76ers,22100869,2/15/22,PHI vs. BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
14,2021-22,PHI,Philadelphia 76ers,22100849,2/12/22,PHI vs. CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
58,2021-22,PHI,Philadelphia 76ers,22100840,2/11/22,PHI vs. OKC,44.42,91.46,0.486,0.461,0.025,0.426,23.63,39,0.606,0.583,29.25,51.58,0.567,0.534,0.033,1610612760,15.17,39.88,0.38,0.354,0.027,100.8,110.2
23,2021-22,PHI,Philadelphia 76ers,22100815,2/8/22,PHI vs. PHX,39.5,87.04,0.454,0.457,-0.003,0.42,20.83,36.54,0.57,0.58,27.46,53.25,0.516,0.53,-0.014,1610612756,12.04,33.79,0.356,0.35,0.007,102,104.7
45,2021-22,PHI,Philadelphia 76ers,22100802,2/6/22,PHI @ CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
33,2021-22,PHI,Philadelphia 76ers,22100791,2/4/22,PHI @ DAL,39.7,85.83,0.463,0.462,0.001,0.445,22.96,38.17,0.601,0.587,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
60,2021-22,PHI,Philadelphia 76ers,22100774,2/2/22,PHI vs. WAS,42.92,89.13,0.482,0.458,0.023,0.431,22.75,38.38,0.593,0.582,30,55.13,0.544,0.53,0.014,1610612764,12.92,34,0.38,0.355,0.025,99.3,111.7
63,2021-22,PHI,Philadelphia 76ers,22100761,1/31/22,PHI vs. MEM,41.45,90,0.461,0.462,-0.001,0.461,23.73,41.5,0.572,0.583,30.41,57.45,0.529,0.536,-0.006,1610612763,11.05,32.55,0.339,0.352,-0.012,103.1,106.2
65,2021-22,PHI,Philadelphia 76ers,22100747,1/29/22,PHI vs. SAC,43.82,89.27,0.491,0.463,0.028,0.428,23.18,38.23,0.606,0.588,29.14,52.32,0.557,0.538,0.019,1610612758,14.68,36.95,0.397,0.354,0.044,102.1,112.9
27,2021-22,PHI,Philadelphia 76ers,22100733,1/27/22,PHI vs. LAL,45.75,90.67,0.505,0.464,0.041,0.434,24.92,39.33,0.633,0.591,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
67,2021-22,PHI,Philadelphia 76ers,22100454,1/25/22,PHI vs. NOP,40.96,84.57,0.484,0.465,0.02,0.393,21.3,33.26,0.641,0.586,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
69,2021-22,PHI,Philadelphia 76ers,22100704,1/23/22,PHI @ SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
25,2021-22,PHI,Philadelphia 76ers,22100686,1/21/22,PHI vs. LAC,41.33,90.29,0.458,0.462,-0.004,0.449,22.33,40.52,0.551,0.588,29.33,57.48,0.51,0.536,-0.026,1610612746,12,32.81,0.366,0.352,0.014,100.2,107.5
37,2021-22,PHI,Philadelphia 76ers,22100668,1/19/22,PHI vs. ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
61,2021-22,PHI,Philadelphia 76ers,22100656,1/17/22,PHI @ WAS,42.92,89.13,0.482,0.458,0.023,0.431,22.75,38.38,0.593,0.582,30,55.13,0.544,0.53,0.014,1610612764,12.92,34,0.38,0.355,0.025,99.3,111.7
30,2021-22,PHI,Philadelphia 76ers,22100645,1/15/22,PHI @ MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
55,2021-22,PHI,Philadelphia 76ers,22100635,1/14/22,PHI vs. BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
16,2021-22,PHI,Philadelphia 76ers,22100619,1/12/22,PHI vs. CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
71,2021-22,PHI,Philadelphia 76ers,22100711,1/10/22,PHI @ HOU,43.75,90.63,0.483,0.461,0.022,0.471,26.5,42.71,0.62,0.582,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
70,2021-22,PHI,Philadelphia 76ers,22100582,1/7/22,PHI vs. SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
38,2021-22,PHI,Philadelphia 76ers,22100568,1/5/22,PHI @ ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
72,2021-22,PHI,Philadelphia 76ers,22100552,1/3/22,PHI vs. HOU,43.75,90.63,0.483,0.461,0.022,0.471,26.5,42.71,0.62,0.582,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
41,2021-22,PHI,Philadelphia 76ers,22100525,12/30/21,PHI @ BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
9,2021-22,PHI,Philadelphia 76ers,22100510,12/28/21,PHI @ TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
62,2021-22,PHI,Philadelphia 76ers,22100495,12/26/21,PHI @ WAS,42.92,89.13,0.482,0.458,0.023,0.431,22.75,38.38,0.593,0.582,30,55.13,0.544,0.53,0.014,1610612764,12.92,34,0.38,0.355,0.025,99.3,111.7
73,2021-22,PHI,Philadelphia 76ers,22100478,12/23/21,PHI vs. ATL,42.71,88.54,0.482,0.458,0.025,0.423,23.13,37.46,0.617,0.577,30.71,56.04,0.548,0.526,0.022,1610612737,12,32.5,0.369,0.35,0.019,100,112.1
56,2021-22,PHI,Philadelphia 76ers,22100457,12/20/21,PHI @ BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
42,2021-22,PHI,Philadelphia 76ers,22100429,12/16/21,PHI @ BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
31,2021-22,PHI,Philadelphia 76ers,22100419,12/15/21,PHI vs. MIA,38.87,84.57,0.46,0.46,-0.001,0.388,20.52,32.83,0.625,0.58,26.7,47.43,0.563,0.53,0.033,1610612748,12.17,37.13,0.328,0.355,-0.027,98.2,106.3
64,2021-22,PHI,Philadelphia 76ers,22100409,12/13/21,PHI @ MEM,41.45,90,0.461,0.462,-0.001,0.461,23.73,41.5,0.572,0.583,30.41,57.45,0.529,0.536,-0.006,1610612763,11.05,32.55,0.339,0.352,-0.012,103.1,106.2
76,2021-22,PHI,Philadelphia 76ers,22100396,12/11/21,PHI vs. GSW,39.04,86.39,0.452,0.464,-0.012,0.401,20.04,34.61,0.579,0.591,26.57,50.91,0.522,0.538,-0.016,1610612744,12.48,35.48,0.352,0.354,-0.002,100.7,103.9
78,2021-22,PHI,Philadelphia 76ers,22100379,12/9/21,PHI vs. UTA,40.13,87.46,0.459,0.459,-0.001,0.388,19.29,33.92,0.569,0.582,27.13,52.38,0.518,0.531,-0.013,1610612762,13,35.08,0.371,0.354,0.017,99.5,107.7
17,2021-22,PHI,Philadelphia 76ers,22100366,12/8/21,PHI @ CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
18,2021-22,PHI,Philadelphia 76ers,22100353,12/6/21,PHI @ CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
74,2021-22,PHI,Philadelphia 76ers,22100335,12/3/21,PHI @ ATL,42.71,88.54,0.482,0.458,0.025,0.423,23.13,37.46,0.617,0.577,30.71,56.04,0.548,0.526,0.022,1610612737,12,32.5,0.369,0.35,0.019,100,112.1
57,2021-22,PHI,Philadelphia 76ers,22100322,12/1/21,PHI @ BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
39,2021-22,PHI,Philadelphia 76ers,22100305,11/29/21,PHI vs. ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
53,2021-22,PHI,Philadelphia 76ers,22100292,11/27/21,PHI vs. MIN,41.7,88.35,0.472,0.459,0.012,0.425,22.91,37.52,0.611,0.582,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
77,2021-22,PHI,Philadelphia 76ers,22100278,11/24/21,PHI @ GSW,39.04,86.39,0.452,0.464,-0.012,0.401,20.04,34.61,0.579,0.591,26.57,50.91,0.522,0.538,-0.016,1610612744,12.48,35.48,0.352,0.354,-0.002,100.7,103.9
66,2021-22,PHI,Philadelphia 76ers,22100262,11/22/21,PHI @ SAC,43.82,89.27,0.491,0.463,0.028,0.428,23.18,38.23,0.606,0.588,29.14,52.32,0.557,0.538,0.019,1610612758,14.68,36.95,0.397,0.354,0.044,102.1,112.9
80,2021-22,PHI,Philadelphia 76ers,22100246,11/20/21,PHI @ POR,42.26,85.17,0.496,0.46,0.036,0.443,24.3,37.74,0.644,0.581,28.26,47.17,0.599,0.535,0.064,1610612757,14,38,0.368,0.35,0.018,100.6,114
35,2021-22,PHI,Philadelphia 76ers,22100228,11/18/21,PHI @ DEN,42.83,89.38,0.479,0.46,0.019,0.428,23.04,38.21,0.603,0.583,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
79,2021-22,PHI,Philadelphia 76ers,22100211,11/16/21,PHI @ UTA,40.13,87.46,0.459,0.459,-0.001,0.388,19.29,33.92,0.569,0.582,27.13,52.38,0.518,0.531,-0.013,1610612762,13,35.08,0.371,0.354,0.017,99.5,107.7
6,2021-22,PHI,Philadelphia 76ers,22100186,11/13/21,PHI @ IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
10,2021-22,PHI,Philadelphia 76ers,22100171,11/11/21,PHI vs. TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
21,2021-22,PHI,Philadelphia 76ers,22100155,11/9/21,PHI vs. MIL,43.91,91.82,0.478,0.465,0.013,0.345,19.36,31.68,0.611,0.586,28.41,52.27,0.543,0.534,0.009,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
50,2021-22,PHI,Philadelphia 76ers,22100147,11/8/21,PHI vs. NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
46,2021-22,PHI,Philadelphia 76ers,22100135,11/6/21,PHI @ CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
2,2021-22,PHI,Philadelphia 76ers,22100119,11/4/21,PHI @ DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
47,2021-22,PHI,Philadelphia 76ers,22100111,11/3/21,PHI vs. CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
81,2021-22,PHI,Philadelphia 76ers,22100096,11/1/21,PHI vs. POR,42.26,85.17,0.496,0.46,0.036,0.443,24.3,37.74,0.644,0.581,28.26,47.17,0.599,0.535,0.064,1610612757,14,38,0.368,0.35,0.018,100.6,114
75,2021-22,PHI,Philadelphia 76ers,22100082,10/30/21,PHI vs. ATL,42.71,88.54,0.482,0.458,0.025,0.423,23.13,37.46,0.617,0.577,30.71,56.04,0.548,0.526,0.022,1610612737,12,32.5,0.369,0.35,0.019,100,112.1
3,2021-22,PHI,Philadelphia 76ers,22100065,10/28/21,PHI vs. DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
51,2021-22,PHI,Philadelphia 76ers,22100050,10/26/21,PHI @ NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
59,2021-22,PHI,Philadelphia 76ers,22100038,10/24/21,PHI @ OKC,44.42,91.46,0.486,0.461,0.025,0.426,23.63,39,0.606,0.583,29.25,51.58,0.567,0.534,0.033,1610612760,15.17,39.88,0.38,0.354,0.027,100.8,110.2
43,2021-22,PHI,Philadelphia 76ers,22100021,10/22/21,PHI vs. BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
68,2021-22,PHI,Philadelphia 76ers,22100009,10/20/21,PHI @ NOP,40.96,84.57,0.484,0.465,0.02,0.393,21.3,33.26,0.641,0.586,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
0,2021-22,PHX,Phoenix Suns,22101229,4/10/22,PHX vs. SAC,43.82,89.27,0.491,0.463,0.028,0.428,23.18,38.23,0.606,0.588,29.14,52.32,0.557,0.538,0.019,1610612758,14.68,36.95,0.397,0.354,0.044,102.1,112.9
4,2021-22,PHX,Phoenix Suns,22101210,4/8/22,PHX @ UTA,40.13,87.46,0.459,0.459,-0.001,0.388,19.29,33.92,0.569,0.582,27.13,52.38,0.518,0.531,-0.013,1610612762,13,35.08,0.371,0.354,0.017,99.5,107.7
8,2021-22,PHX,Phoenix Suns,22101195,4/6/22,PHX @ LAC,41.33,90.29,0.458,0.462,-0.004,0.449,22.33,40.52,0.551,0.588,29.33,57.48,0.51,0.536,-0.026,1610612746,12,32.81,0.366,0.352,0.014,100.2,107.5
12,2021-22,PHX,Phoenix Suns,22101189,4/5/22,PHX vs. LAL,45.75,90.67,0.505,0.464,0.041,0.434,24.92,39.33,0.633,0.591,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
16,2021-22,PHX,Phoenix Suns,22101174,4/3/22,PHX @ OKC,44.42,91.46,0.486,0.461,0.025,0.426,23.63,39,0.606,0.583,29.25,51.58,0.567,0.534,0.033,1610612760,15.17,39.88,0.38,0.354,0.027,100.8,110.2
20,2021-22,PHX,Phoenix Suns,22101155,4/1/22,PHX @ MEM,41.45,90,0.461,0.462,-0.001,0.461,23.73,41.5,0.572,0.583,30.41,57.45,0.529,0.536,-0.006,1610612763,11.05,32.55,0.339,0.352,-0.012,103.1,106.2
23,2021-22,PHX,Phoenix Suns,22101145,3/30/22,PHX @ GSW,39.04,86.39,0.452,0.464,-0.012,0.401,20.04,34.61,0.579,0.591,26.57,50.91,0.522,0.538,-0.016,1610612744,12.48,35.48,0.352,0.354,-0.002,100.7,103.9
27,2021-22,PHX,Phoenix Suns,22101118,3/27/22,PHX vs. PHI,40.67,85.46,0.476,0.459,0.017,0.415,21.67,35.5,0.61,0.583,29.17,53.67,0.543,0.528,0.015,1610612755,11.5,31.79,0.362,0.353,0.009,98.4,108.3
29,2021-22,PHX,Phoenix Suns,22101099,3/24/22,PHX @ DEN,42.83,89.38,0.479,0.46,0.019,0.428,23.04,38.21,0.603,0.583,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
32,2021-22,PHX,Phoenix Suns,22101090,3/23/22,PHX @ MIN,41.7,88.35,0.472,0.459,0.012,0.425,22.91,37.52,0.611,0.582,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
1,2021-22,PHX,Phoenix Suns,22101066,3/20/22,PHX @ SAC,43.82,89.27,0.491,0.463,0.028,0.428,23.18,38.23,0.606,0.588,29.14,52.32,0.557,0.538,0.019,1610612758,14.68,36.95,0.397,0.354,0.044,102.1,112.9
